"Date","Price","Open","High","Low","Change %"
"Feb 07, 2018","109.33","109.56","109.72","108.92","-0.21%"
"Feb 06, 2018","109.56","109.08","109.66","108.44","0.41%"
"Feb 05, 2018","109.11","110.11","110.31","108.98","-0.91%"
"Feb 02, 2018","110.11","109.41","110.48","109.28","0.64%"
"Feb 01, 2018","109.41","109.19","109.75","109.09","0.20%"
"Jan 31, 2018","109.19","108.78","109.45","108.58","0.38%"
"Jan 30, 2018","108.78","108.97","109.22","108.42","-0.16%"
"Jan 29, 2018","108.95","108.69","109.20","108.50","0.21%"
"Jan 26, 2018","108.72","109.42","109.78","108.28","-0.63%"
"Jan 25, 2018","109.41","109.22","109.70","108.50","0.17%"
"Jan 24, 2018","109.22","110.31","110.34","108.97","-0.99%"
"Jan 23, 2018","110.31","110.92","111.19","110.25","-0.55%"
"Jan 22, 2018","110.92","110.62","111.23","110.52","0.13%"
"Jan 19, 2018","110.78","111.11","111.14","110.50","-0.30%"
"Jan 18, 2018","111.11","111.30","111.50","110.70","-0.15%"
"Jan 17, 2018","111.28","110.44","111.34","110.19","0.75%"
"Jan 16, 2018","110.45","110.55","110.98","110.25","-0.08%"
"Jan 15, 2018","110.54","111.07","111.20","110.32","-0.45%"
"Jan 12, 2018","111.04","111.26","111.70","110.91","-0.19%"
"Jan 11, 2018","111.25","111.44","111.89","111.05","-0.17%"
"Jan 10, 2018","111.44","112.66","112.78","111.28","-1.08%"
"Jan 09, 2018","112.66","113.11","113.19","112.36","-0.38%"
"Jan 08, 2018","113.09","113.06","113.39","112.89","0.01%"
"Jan 05, 2018","113.08","112.75","113.32","112.72","0.29%"
"Jan 04, 2018","112.75","112.50","112.87","112.46","0.22%"
"Jan 03, 2018","112.50","112.30","112.61","112.17","0.18%"
"Jan 02, 2018","112.30","112.67","112.80","112.06","-0.32%"
"Jan 01, 2018","112.66","112.67","112.69","112.64","-0.03%"
"Dec 29, 2017","112.69","112.88","112.98","112.47","-0.18%"
"Dec 28, 2017","112.89","113.36","113.36","112.67","-0.41%"
"Dec 27, 2017","113.36","113.25","113.39","113.14","0.11%"
"Dec 26, 2017","113.23","113.28","113.36","113.12","-0.04%"
"Dec 25, 2017","113.28","113.33","113.38","113.22","0.01%"
"Dec 22, 2017","113.27","113.32","113.45","113.25","-0.05%"
"Dec 21, 2017","113.33","113.41","113.64","113.20","-0.05%"
"Dec 20, 2017","113.39","112.89","113.47","112.84","0.44%"
"Dec 19, 2017","112.89","112.54","113.08","112.51","0.30%"
"Dec 18, 2017","112.55","112.64","112.85","112.32","-0.03%"
"Dec 15, 2017","112.58","112.39","112.75","112.03","0.17%"
"Dec 14, 2017","112.39","112.53","112.88","112.06","-0.14%"
"Dec 13, 2017","112.55","113.56","113.58","112.47","-0.88%"
"Dec 12, 2017","113.55","113.58","113.75","113.38","-0.01%"
"Dec 11, 2017","113.56","113.48","113.69","113.24","0.07%"
"Dec 08, 2017","113.48","113.08","113.58","113.06","0.35%"
"Dec 07, 2017","113.08","112.28","113.16","112.20","0.69%"
"Dec 06, 2017","112.30","112.59","112.67","112.00","-0.26%"
"Dec 05, 2017","112.59","112.41","112.88","112.38","0.15%"
"Dec 04, 2017","112.42","112.41","113.09","112.36","0.28%"
"Dec 01, 2017","112.11","112.53","112.88","111.42","-0.37%"
"Nov 30, 2017","112.53","111.92","112.64","111.72","0.54%"
"Nov 29, 2017","111.93","111.48","112.15","111.37","0.40%"
"Nov 28, 2017","111.48","111.09","111.64","110.94","0.35%"
"Nov 27, 2017","111.09","111.41","111.69","110.83","-0.41%"
"Nov 24, 2017","111.55","111.22","111.64","111.19","0.30%"
"Nov 23, 2017","111.22","111.21","111.38","111.06","0.00%"
"Nov 22, 2017","111.22","112.45","112.50","111.14","-1.09%"
"Nov 21, 2017","112.44","112.62","112.72","112.17","-0.16%"
"Nov 20, 2017","112.62","112.08","112.72","111.88","0.48%"
"Nov 17, 2017","112.08","113.05","113.16","111.94","-0.87%"
"Nov 16, 2017","113.06","112.88","113.34","112.73","0.16%"
"Nov 15, 2017","112.88","113.47","113.50","112.47","-0.50%"
"Nov 14, 2017","113.45","113.62","113.92","113.31","-0.15%"
"Nov 13, 2017","113.62","113.52","113.72","113.25","0.08%"
"Nov 10, 2017","113.53","113.47","113.64","113.20","0.05%"
"Nov 09, 2017","113.47","113.86","114.08","113.09","-0.36%"
"Nov 08, 2017","113.88","114.00","114.05","113.39","-0.12%"
"Nov 07, 2017","114.02","113.70","114.34","113.69","0.28%"
"Nov 06, 2017","113.70","114.00","114.74","113.70","-0.33%"
"Nov 03, 2017","114.08","114.08","114.44","113.66","-0.01%"
"Nov 02, 2017","114.09","114.17","114.22","113.53","-0.07%"
"Nov 01, 2017","114.17","113.64","114.30","113.61","0.47%"
"Oct 31, 2017","113.64","113.17","113.73","112.97","0.40%"
"Oct 30, 2017","113.19","113.73","113.84","113.03","-0.44%"
"Oct 27, 2017","113.69","113.98","114.45","113.64","-0.25%"
"Oct 26, 2017","113.98","113.75","114.08","113.34","0.20%"
"Oct 25, 2017","113.75","113.92","114.25","113.48","-0.13%"
"Oct 24, 2017","113.90","113.43","114.01","113.25","0.41%"
"Oct 23, 2017","113.44","113.69","114.11","113.25","-0.07%"
"Oct 20, 2017","113.52","112.53","113.58","112.52","0.86%"
"Oct 19, 2017","112.55","112.94","113.16","112.31","-0.35%"
"Oct 18, 2017","112.94","112.20","113.06","112.14","0.66%"
"Oct 17, 2017","112.20","112.19","112.48","112.03","0.01%"
"Oct 16, 2017","112.19","111.85","112.29","111.65","0.30%"
"Oct 13, 2017","111.86","112.28","112.33","111.69","-0.37%"
"Oct 12, 2017","112.28","112.50","112.53","112.12","-0.20%"
"Oct 11, 2017","112.50","112.45","112.59","112.08","0.04%"
"Oct 10, 2017","112.45","112.67","112.83","112.00","-0.20%"
"Oct 09, 2017","112.67","112.69","112.75","112.32","0.03%"
"Oct 06, 2017","112.64","112.81","113.44","112.61","-0.16%"
"Oct 05, 2017","112.82","112.75","112.92","112.41","0.06%"
"Oct 04, 2017","112.75","112.86","112.94","112.33","-0.10%"
"Oct 03, 2017","112.86","112.75","113.20","112.64","0.08%"
"Oct 02, 2017","112.77","112.56","113.06","112.44","0.25%"
"Sep 29, 2017","112.49","112.35","112.74","112.21","0.13%"
"Sep 28, 2017","112.34","112.86","113.20","112.25","-0.43%"
"Sep 27, 2017","112.83","112.25","113.27","112.21","0.53%"
"Sep 26, 2017","112.23","111.73","112.48","111.50","0.45%"
"Sep 25, 2017","111.73","111.98","112.53","111.47","-0.22%"
"Sep 22, 2017","111.98","112.47","112.56","111.66","-0.44%"
"Sep 21, 2017","112.47","112.21","112.72","112.13","0.22%"
"Sep 20, 2017","112.22","111.58","112.53","111.11","0.56%"
"Sep 19, 2017","111.59","111.56","111.89","111.19","0.02%"
"Sep 18, 2017","111.57","110.88","111.67","110.88","0.66%"
"Sep 15, 2017","110.84","110.22","111.33","109.55","0.55%"
"Sep 14, 2017","110.23","110.48","111.03","110.08","-0.23%"
"Sep 13, 2017","110.48","110.19","110.70","109.92","0.28%"
"Sep 12, 2017","110.17","109.42","110.27","109.25","0.69%"
"Sep 11, 2017","109.41","108.20","109.52","108.14","1.46%"
"Sep 08, 2017","107.84","108.45","108.50","107.33","-0.56%"
"Sep 07, 2017","108.45","109.23","109.28","108.06","-0.71%"
"Sep 06, 2017","109.23","108.81","109.41","108.45","0.39%"
"Sep 05, 2017","108.81","109.73","109.84","108.64","-0.85%"
"Sep 04, 2017","109.74","109.40","109.94","109.31","-0.48%"
"Sep 01, 2017","110.27","109.97","110.42","109.56","0.27%"
"Aug 31, 2017","109.97","110.25","110.67","109.89","-0.24%"
"Aug 30, 2017","110.23","109.75","110.44","109.53","0.44%"
"Aug 29, 2017","109.75","109.27","109.91","108.27","0.46%"
"Aug 28, 2017","109.25","109.26","109.42","109.03","-0.10%"
"Aug 25, 2017","109.36","109.56","109.86","109.11","-0.18%"
"Aug 24, 2017","109.56","109.06","109.61","108.83","0.49%"
"Aug 23, 2017","109.03","109.56","109.83","108.92","-0.49%"
"Aug 22, 2017","109.57","108.97","109.65","108.87","0.54%"
"Aug 21, 2017","108.98","109.34","109.43","108.62","-0.19%"
"Aug 18, 2017","109.19","109.58","109.61","108.61","-0.35%"
"Aug 17, 2017","109.57","110.20","110.37","109.43","-0.56%"
"Aug 16, 2017","110.19","110.67","110.95","110.02","-0.43%"
"Aug 15, 2017","110.67","109.64","110.86","109.59","0.94%"
"Aug 14, 2017","109.64","109.06","109.81","109.03","0.41%"
"Aug 11, 2017","109.19","109.22","109.44","108.77","-0.03%"
"Aug 10, 2017","109.22","110.08","110.19","109.14","-0.78%"
"Aug 09, 2017","110.08","110.31","110.39","109.56","-0.21%"
"Aug 08, 2017","110.31","110.73","110.83","110.23","-0.40%"
"Aug 07, 2017","110.75","110.61","110.92","110.61","0.05%"
"Aug 04, 2017","110.69","110.03","111.06","109.83","0.58%"
"Aug 03, 2017","110.05","110.72","110.84","109.86","-0.61%"
"Aug 02, 2017","110.73","110.36","111.00","110.28","0.34%"
"Aug 01, 2017","110.36","110.25","110.59","109.92","0.10%"
"Jul 31, 2017","110.25","110.64","110.78","110.19","-0.38%"
"Jul 28, 2017","110.67","111.28","111.34","110.55","-0.52%"
"Jul 27, 2017","111.25","111.18","111.73","110.78","0.07%"
"Jul 26, 2017","111.17","111.89","112.20","111.06","-0.64%"
"Jul 25, 2017","111.89","111.08","111.96","110.81","0.70%"
"Jul 24, 2017","111.11","111.06","111.31","110.61","-0.01%"
"Jul 21, 2017","111.12","111.92","112.09","111.00","-0.71%"
"Jul 20, 2017","111.91","111.98","112.43","111.48","-0.05%"
"Jul 19, 2017","111.97","112.08","112.25","111.56","-0.10%"
"Jul 18, 2017","112.08","112.62","112.72","111.67","-0.50%"
"Jul 17, 2017","112.64","112.50","112.88","112.31","0.10%"
"Jul 14, 2017","112.53","113.29","113.60","112.27","-0.66%"
"Jul 13, 2017","113.28","113.16","113.53","112.86","0.11%"
"Jul 12, 2017","113.16","113.94","113.98","112.92","-0.68%"
"Jul 11, 2017","113.94","114.05","114.51","113.72","-0.09%"
"Jul 10, 2017","114.04","113.97","114.30","113.85","0.13%"
"Jul 07, 2017","113.89","113.19","114.19","113.08","0.59%"
"Jul 06, 2017","113.22","113.27","113.48","112.89","-0.04%"
"Jul 05, 2017","113.27","113.28","113.69","112.81","-0.01%"
"Jul 04, 2017","113.28","113.38","113.48","112.73","-0.10%"
"Jul 03, 2017","113.39","112.14","113.48","111.94","0.90%"
"Jun 30, 2017","112.38","112.19","112.62","111.74","0.18%"
"Jun 29, 2017","112.18","112.31","112.94","111.81","-0.11%"
"Jun 28, 2017","112.30","112.36","112.43","111.83","-0.05%"
"Jun 27, 2017","112.36","111.88","112.47","111.45","0.46%"
"Jun 26, 2017","111.84","111.11","111.94","111.11","0.49%"
"Jun 23, 2017","111.29","111.35","111.45","111.16","-0.04%"
"Jun 22, 2017","111.33","111.35","111.45","110.93","-0.04%"
"Jun 21, 2017","111.38","111.45","111.73","111.05","-0.05%"
"Jun 20, 2017","111.44","111.53","111.81","111.31","-0.08%"
"Jun 19, 2017","111.53","110.83","111.61","110.75","0.60%"
"Jun 16, 2017","110.86","110.92","111.44","110.64","-0.07%"
"Jun 15, 2017","110.94","109.56","111.00","109.28","1.24%"
"Jun 14, 2017","109.58","110.06","110.36","108.83","-0.45%"
"Jun 13, 2017","110.07","109.95","110.28","109.82","0.12%"
"Jun 12, 2017","109.94","110.36","110.44","109.61","-0.36%"
"Jun 09, 2017","110.34","110.00","110.81","109.75","0.31%"
"Jun 08, 2017","110.00","109.83","110.42","109.39","0.17%"
"Jun 07, 2017","109.81","109.44","109.91","109.11","0.37%"
"Jun 06, 2017","109.41","110.44","110.52","109.20","-0.96%"
"Jun 05, 2017","110.47","110.36","110.73","110.25","0.05%"
"Jun 02, 2017","110.42","111.34","111.72","110.31","-0.84%"
"Jun 01, 2017","111.36","110.77","111.48","110.67","0.52%"
"May 31, 2017","110.78","110.86","111.25","110.47","-0.06%"
"May 30, 2017","110.85","111.27","111.35","110.67","-0.37%"
"May 29, 2017","111.26","111.32","111.48","111.16","-0.07%"
"May 26, 2017","111.34","111.86","111.89","110.89","-0.44%"
"May 25, 2017","111.83","111.48","111.95","111.47","0.30%"
"May 24, 2017","111.50","111.76","112.12","111.46","-0.25%"
"May 23, 2017","111.78","111.31","111.86","110.86","0.43%"
"May 22, 2017","111.30","111.33","111.62","110.89","0.02%"
"May 19, 2017","111.28","111.48","111.70","111.03","-0.20%"
"May 18, 2017","111.50","110.83","111.73","110.23","0.61%"
"May 17, 2017","110.82","113.13","113.14","110.78","-2.03%"
"May 16, 2017","113.12","113.78","113.80","112.91","-0.58%"
"May 15, 2017","113.78","113.19","113.86","113.11","0.39%"
"May 12, 2017","113.34","113.86","113.97","113.19","-0.46%"
"May 11, 2017","113.86","114.31","114.39","113.47","-0.37%"
"May 10, 2017","114.28","113.98","114.36","113.62","0.26%"
"May 09, 2017","113.98","113.25","114.33","113.11","0.64%"
"May 08, 2017","113.25","112.98","113.31","112.38","0.47%"
"May 05, 2017","112.72","112.45","112.83","112.08","0.23%"
"May 04, 2017","112.46","112.74","113.05","112.30","-0.26%"
"May 03, 2017","112.75","112.00","112.80","111.95","0.69%"
"May 02, 2017","111.98","111.86","112.33","111.78","0.13%"
"May 01, 2017","111.84","111.30","111.93","111.19","0.26%"
"Apr 28, 2017","111.55","111.25","111.72","111.06","0.25%"
"Apr 27, 2017","111.27","111.06","111.61","111.00","0.19%"
"Apr 26, 2017","111.06","111.11","111.80","110.88","-0.03%"
"Apr 25, 2017","111.09","109.77","111.19","109.58","1.20%"
"Apr 24, 2017","109.77","110.25","110.64","109.64","0.63%"
"Apr 21, 2017","109.08","109.33","109.44","108.86","-0.22%"
"Apr 20, 2017","109.32","108.85","109.49","108.70","0.42%"
"Apr 19, 2017","108.86","108.42","109.19","108.36","0.41%"
"Apr 18, 2017","108.42","108.92","109.23","108.31","-0.45%"
"Apr 17, 2017","108.91","108.67","109.06","108.12","0.25%"
"Apr 14, 2017","108.64","109.09","109.25","108.55","-0.41%"
"Apr 13, 2017","109.09","109.02","109.41","108.72","0.06%"
"Apr 12, 2017","109.03","109.63","109.89","108.96","-0.54%"
"Apr 11, 2017","109.62","110.94","110.97","109.60","-1.19%"
"Apr 10, 2017","110.94","111.09","111.58","110.78","-0.12%"
"Apr 07, 2017","111.07","110.81","111.38","110.13","0.23%"
"Apr 06, 2017","110.81","110.69","111.14","110.28","0.10%"
"Apr 05, 2017","110.70","110.77","111.47","110.53","-0.05%"
"Apr 04, 2017","110.75","110.89","110.97","110.27","-0.13%"
"Apr 03, 2017","110.89","111.41","111.61","110.84","-0.45%"
"Mar 31, 2017","111.39","111.92","112.20","111.22","-0.47%"
"Mar 30, 2017","111.92","111.06","111.97","110.94","0.78%"
"Mar 29, 2017","111.05","111.14","111.33","110.70","-0.10%"
"Mar 28, 2017","111.16","110.69","111.22","110.19","0.45%"
"Mar 27, 2017","110.66","111.23","111.27","110.10","-0.61%"
"Mar 24, 2017","111.34","110.94","111.50","110.61","0.36%"
"Mar 23, 2017","110.94","111.17","111.58","110.61","-0.20%"
"Mar 22, 2017","111.16","111.70","111.81","110.72","-0.50%"
"Mar 21, 2017","111.72","112.55","112.88","111.55","-0.75%"
"Mar 20, 2017","112.56","112.69","112.89","112.44","-0.14%"
"Mar 17, 2017","112.72","113.31","113.50","112.55","-0.52%"
"Mar 16, 2017","113.31","113.36","113.56","112.91","-0.06%"
"Mar 15, 2017","113.38","114.75","114.91","113.18","-1.19%"
"Mar 14, 2017","114.75","114.88","115.20","114.50","-0.11%"
"Mar 13, 2017","114.88","114.81","114.93","114.47","0.11%"
"Mar 10, 2017","114.75","114.94","115.51","114.63","-0.17%"
"Mar 09, 2017","114.94","114.38","115.03","114.33","0.52%"
"Mar 08, 2017","114.35","113.99","114.77","113.61","0.32%"
"Mar 07, 2017","113.98","113.89","114.17","113.72","0.08%"
"Mar 06, 2017","113.89","114.02","114.14","113.55","-0.11%"
"Mar 03, 2017","114.02","114.42","114.77","113.83","-0.34%"
"Mar 02, 2017","114.41","113.75","114.61","113.69","0.60%"
"Mar 01, 2017","113.73","112.78","114.06","112.73","0.84%"
"Feb 28, 2017","112.78","112.72","112.91","111.70","0.07%"
"Feb 27, 2017","112.70","112.11","112.86","111.92","0.45%"
"Feb 24, 2017","112.19","112.61","112.96","111.92","-0.36%"
"Feb 23, 2017","112.59","113.31","113.47","112.56","-0.63%"
"Feb 22, 2017","113.30","113.72","113.75","112.91","-0.34%"
"Feb 21, 2017","113.69","113.08","113.78","113.08","0.52%"
"Feb 20, 2017","113.10","112.86","113.26","112.78","0.19%"
"Feb 17, 2017","112.88","113.25","113.53","112.61","-0.31%"
"Feb 16, 2017","113.23","114.17","114.36","113.09","-0.82%"
"Feb 15, 2017","114.17","114.23","114.97","113.84","-0.08%"
"Feb 14, 2017","114.26","113.73","114.50","113.22","0.45%"
"Feb 13, 2017","113.75","113.33","114.17","113.28","0.47%"
"Feb 10, 2017","113.22","113.25","113.88","112.86","-0.03%"
"Feb 09, 2017","113.25","111.97","113.38","111.73","1.17%"
"Feb 08, 2017","111.94","112.36","112.55","111.61","-0.40%"
"Feb 07, 2017","112.39","111.75","112.58","111.58","0.57%"
"Feb 06, 2017","111.75","112.42","112.81","111.64","-0.84%"
"Feb 03, 2017","112.70","112.78","113.45","112.28","-0.10%"
"Feb 02, 2017","112.81","113.25","113.36","112.03","-0.39%"
"Feb 01, 2017","113.25","112.81","113.97","112.62","0.40%"
"Jan 31, 2017","112.80","113.75","113.97","112.06","-0.86%"
"Jan 30, 2017","113.78","115.09","115.14","113.44","-1.13%"
"Jan 27, 2017","115.08","114.53","115.39","114.39","0.48%"
"Jan 26, 2017","114.53","113.28","114.86","113.03","1.10%"
"Jan 25, 2017","113.28","113.78","114.00","113.03","-0.46%"
"Jan 24, 2017","113.80","112.70","113.91","112.50","0.98%"
"Jan 23, 2017","112.70","114.37","114.45","112.68","-1.68%"
"Jan 20, 2017","114.62","114.88","115.41","114.22","-0.22%"
"Jan 19, 2017","114.87","114.63","115.62","114.38","0.17%"
"Jan 18, 2017","114.67","112.61","114.77","112.56","1.80%"
"Jan 17, 2017","112.64","114.19","114.30","112.59","-1.37%"
"Jan 16, 2017","114.20","114.55","114.55","113.67","-0.29%"
"Jan 13, 2017","114.53","114.72","115.46","114.20","-0.17%"
"Jan 12, 2017","114.72","115.42","115.53","113.75","-0.60%"
"Jan 11, 2017","115.41","115.78","116.86","114.24","-0.31%"
"Jan 10, 2017","115.77","116.02","116.35","115.19","-0.22%"
"Jan 09, 2017","116.03","116.91","117.53","115.97","-0.76%"
"Jan 06, 2017","116.92","115.36","117.19","115.06","1.35%"
"Jan 05, 2017","115.36","117.25","117.44","115.22","-1.63%"
"Jan 04, 2017","117.27","117.77","118.19","117.05","-0.41%"
"Jan 03, 2017","117.75","117.55","118.61","117.20","0.19%"
"Jan 02, 2017","117.53","116.92","117.69","116.72","0.55%"
"Dec 30, 2016","116.89","116.56","117.22","116.05","0.29%"
"Dec 29, 2016","116.55","117.25","117.27","116.20","-0.60%"
"Dec 28, 2016","117.25","117.41","117.83","117.05","-0.14%"
"Dec 27, 2016","117.42","117.09","117.64","117.08","0.28%"
"Dec 26, 2016","117.09","117.38","117.40","116.99","-0.22%"
"Dec 23, 2016","117.35","117.55","117.67","117.18","-0.16%"
"Dec 22, 2016","117.54","117.58","117.90","117.26","-0.01%"
"Dec 21, 2016","117.55","117.84","118.07","117.08","-0.28%"
"Dec 20, 2016","117.88","117.11","118.28","116.99","0.68%"
"Dec 19, 2016","117.08","117.89","118.03","116.53","-0.77%"
"Dec 16, 2016","117.99","118.18","118.43","117.45","-0.15%"
"Dec 15, 2016","118.17","117.05","118.67","116.97","0.96%"
"Dec 14, 2016","117.05","115.17","117.39","114.75","1.61%"
"Dec 13, 2016","115.19","115.03","115.50","114.73","0.14%"
"Dec 12, 2016","115.03","115.22","116.12","114.83","-0.32%"
"Dec 09, 2016","115.40","114.04","115.40","114.00","1.20%"
"Dec 08, 2016","114.03","113.73","114.39","113.14","0.23%"
"Dec 07, 2016","113.77","114.00","114.41","113.39","-0.22%"
"Dec 06, 2016","114.02","113.88","114.22","113.50","0.16%"
"Dec 05, 2016","113.84","113.55","114.80","112.86","0.23%"
"Dec 02, 2016","113.58","114.10","114.25","113.33","-0.45%"
"Dec 01, 2016","114.09","114.45","114.83","113.81","-0.33%"
"Nov 30, 2016","114.47","112.41","114.56","112.05","1.85%"
"Nov 29, 2016","112.39","111.94","113.36","111.61","0.40%"
"Nov 28, 2016","111.94","113.05","113.12","111.33","-1.01%"
"Nov 25, 2016","113.08","113.34","113.91","112.55","-0.23%"
"Nov 24, 2016","113.34","112.53","113.58","112.39","0.73%"
"Nov 23, 2016","112.52","111.11","112.98","110.83","1.26%"
"Nov 22, 2016","111.12","110.81","111.36","110.23","0.26%"
"Nov 21, 2016","110.83","110.93","111.40","110.46","-0.11%"
"Nov 18, 2016","110.95","110.13","110.98","109.80","0.76%"
"Nov 17, 2016","110.11","109.08","110.20","108.55","0.94%"
"Nov 16, 2016","109.08","109.19","109.77","108.78","-0.08%"
"Nov 15, 2016","109.17","108.42","109.36","107.77","0.69%"
"Nov 14, 2016","108.42","106.54","108.56","106.53","1.63%"
"Nov 11, 2016","106.68","106.82","106.94","106.01","-0.14%"
"Nov 10, 2016","106.83","105.67","106.95","104.97","1.10%"
"Nov 09, 2016","105.67","105.14","105.91","101.17","0.48%"
"Nov 08, 2016","105.16","104.46","105.22","104.29","0.66%"
"Nov 07, 2016","104.47","103.14","104.64","103.09","1.29%"
"Nov 04, 2016","103.14","102.98","103.37","102.83","0.16%"
"Nov 03, 2016","102.98","103.31","103.45","102.56","-0.32%"
"Nov 02, 2016","103.31","104.14","104.19","103.00","-0.82%"
"Nov 01, 2016","104.16","104.84","105.14","103.81","-0.63%"
"Oct 31, 2016","104.82","104.69","105.23","104.25","0.11%"
"Oct 28, 2016","104.70","105.28","105.55","104.47","-0.56%"
"Oct 27, 2016","105.29","104.46","105.35","104.28","0.78%"
"Oct 26, 2016","104.47","104.22","104.62","104.00","0.23%"
"Oct 25, 2016","104.23","104.18","104.88","104.10","0.04%"
"Oct 24, 2016","104.19","103.86","104.33","103.70","0.35%"
"Oct 21, 2016","103.83","103.95","104.23","103.53","-0.12%"
"Oct 20, 2016","103.95","103.44","104.11","103.33","0.49%"
"Oct 19, 2016","103.44","103.84","103.94","103.16","-0.40%"
"Oct 18, 2016","103.86","103.89","104.22","103.67","-0.03%"
"Oct 17, 2016","103.89","104.06","104.39","103.77","-0.29%"
"Oct 14, 2016","104.19","103.70","104.48","103.59","0.48%"
"Oct 13, 2016","103.69","104.22","104.64","103.33","-0.49%"
"Oct 12, 2016","104.20","103.52","104.50","103.28","0.66%"
"Oct 11, 2016","103.52","103.61","104.08","103.16","-0.09%"
"Oct 10, 2016","103.61","103.09","103.81","102.81","0.67%"
"Oct 07, 2016","102.92","103.94","104.05","102.86","-0.98%"
"Oct 06, 2016","103.94","103.50","104.17","103.33","0.43%"
"Oct 05, 2016","103.50","102.89","103.67","102.67","0.59%"
"Oct 04, 2016","102.89","101.64","102.97","101.56","1.23%"
"Oct 03, 2016","101.64","101.39","101.69","101.22","0.30%"
"Sep 30, 2016","101.34","101.03","101.77","100.75","0.31%"
"Sep 29, 2016","101.03","100.69","101.86","100.64","0.36%"
"Sep 28, 2016","100.67","100.42","100.83","100.25","0.23%"
"Sep 27, 2016","100.44","100.33","101.00","100.08","0.11%"
"Sep 26, 2016","100.33","101.05","101.11","100.23","-0.66%"
"Sep 23, 2016","101.00","100.75","101.25","100.67","0.25%"
"Sep 22, 2016","100.75","100.33","100.94","100.09","0.44%"
"Sep 21, 2016","100.31","101.72","102.81","100.31","-1.38%"
"Sep 20, 2016","101.71","101.95","102.08","101.54","-0.23%"
"Sep 19, 2016","101.94","102.22","102.42","101.58","-0.35%"
"Sep 16, 2016","102.30","102.08","102.47","101.73","0.21%"
"Sep 15, 2016","102.09","102.42","102.75","101.92","-0.32%"
"Sep 14, 2016","102.42","102.56","103.36","102.25","-0.14%"
"Sep 13, 2016","102.56","101.88","102.77","101.42","0.69%"
"Sep 12, 2016","101.86","102.69","102.80","101.56","-0.81%"
"Sep 09, 2016","102.69","102.48","103.06","101.97","0.19%"
"Sep 08, 2016","102.50","101.75","102.61","101.41","0.76%"
"Sep 07, 2016","101.73","102.03","102.14","101.20","-0.28%"
"Sep 06, 2016","102.02","103.44","103.83","101.94","-1.37%"
"Sep 05, 2016","103.44","103.95","104.14","103.14","-0.53%"
"Sep 02, 2016","103.99","103.24","104.33","102.81","0.72%"
"Sep 01, 2016","103.25","103.42","104.02","103.05","-0.16%"
"Aug 31, 2016","103.42","102.95","103.53","102.84","0.44%"
"Aug 30, 2016","102.97","101.92","103.14","101.75","1.03%"
"Aug 29, 2016","101.92","101.83","102.41","101.83","0.09%"
"Aug 26, 2016","101.83","100.53","101.94","100.08","1.29%"
"Aug 25, 2016","100.53","100.44","100.62","100.28","0.09%"
"Aug 24, 2016","100.44","100.25","100.62","100.08","0.19%"
"Aug 23, 2016","100.25","100.33","100.41","99.92","-0.08%"
"Aug 22, 2016","100.33","100.42","100.94","100.20","0.11%"
"Aug 19, 2016","100.22","99.89","100.46","99.86","0.33%"
"Aug 18, 2016","99.89","100.28","100.50","99.64","-0.38%"
"Aug 17, 2016","100.27","100.33","101.18","100.05","-0.04%"
"Aug 16, 2016","100.31","101.27","101.31","99.56","-0.93%"
"Aug 15, 2016","101.25","101.22","101.47","100.86","-0.06%"
"Aug 12, 2016","101.31","101.94","102.28","100.83","-0.63%"
"Aug 11, 2016","101.95","101.28","102.06","101.00","0.66%"
"Aug 10, 2016","101.28","101.89","101.97","100.95","-0.60%"
"Aug 09, 2016","101.89","102.44","102.53","101.77","-0.54%"
"Aug 08, 2016","102.44","101.72","102.67","101.72","0.62%"
"Aug 05, 2016","101.81","101.22","102.06","100.85","0.58%"
"Aug 04, 2016","101.22","101.25","101.67","100.86","-0.01%"
"Aug 03, 2016","101.23","100.89","101.58","100.73","0.34%"
"Aug 02, 2016","100.89","102.39","102.83","100.67","-1.46%"
"Aug 01, 2016","102.39","102.06","102.69","102.00","0.32%"
"Jul 29, 2016","102.06","105.25","105.34","101.95","-3.05%"
"Jul 28, 2016","105.27","105.41","105.53","104.53","-0.12%"
"Jul 27, 2016","105.40","104.65","106.54","104.61","0.71%"
"Jul 26, 2016","104.66","105.81","105.89","104.00","-1.06%"
"Jul 25, 2016","105.78","106.22","106.73","105.73","-0.28%"
"Jul 22, 2016","106.08","105.81","106.39","105.56","0.26%"
"Jul 21, 2016","105.81","106.86","107.48","105.42","-0.96%"
"Jul 20, 2016","106.84","106.14","107.03","105.83","0.68%"
"Jul 19, 2016","106.12","106.16","106.53","105.64","-0.04%"
"Jul 18, 2016","106.16","105.13","106.26","105.05","1.26%"
"Jul 15, 2016","104.84","105.34","106.31","104.64","-0.47%"
"Jul 14, 2016","105.34","104.50","105.95","104.00","0.80%"
"Jul 13, 2016","104.50","104.69","104.89","103.91","-0.18%"
"Jul 12, 2016","104.69","102.80","104.97","102.42","1.83%"
"Jul 11, 2016","102.81","100.44","102.91","100.44","2.25%"
"Jul 08, 2016","100.55","100.78","101.25","100.03","-0.23%"
"Jul 07, 2016","100.78","101.34","101.44","100.61","-0.54%"
"Jul 06, 2016","101.33","101.73","101.78","100.19","-0.38%"
"Jul 05, 2016","101.72","102.58","102.61","101.45","-0.82%"
"Jul 04, 2016","102.56","102.53","102.81","102.42","0.03%"
