Date,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,libor,USDJPY,GBPUSD,FTSE100,NYSE,MS,JPM,Nikkei225
2010-06-01,141.860001,141.605713,142.89380971428574,146.5240683151058,142.4073773589094,-4.116690956196408,3.516640253156036,149.92709022059782,135.86052920797366,142.5720793868045,140.860001,4.947766496416512,0.35,91.17,1.4647,5163.3,6661.100098,26.129998999999998,38.540001000000004,9711.830078
2010-06-02,144.830002,142.2071425714286,142.67142885714287,146.3985430851969,142.78008885113985,-3.6184542340570545,3.175683840779904,149.0227965387027,136.32006117558305,144.07736112893483,143.830002,4.968632060521102,0.35,92.09,1.4649,5151.32,6839.609863,27.18,39.549999,9603.240234
2010-06-03,144.03999299999998,143.25714128571425,142.41380961904764,146.22378560838487,142.97392026261093,-3.249865345773941,2.89608144458999,148.20597250822763,136.62164672986765,144.05244904297828,143.03999299999998,4.963124262487843,0.35,92.59,1.4612,5211.18,6860.390137,26.85,39.099998,9914.19043
2010-06-04,142.25,143.21285585714284,142.1309523809524,145.92935302013268,142.8625479125945,-3.066805107538187,2.8958756439680404,147.9227036688885,136.33920109301633,142.85081634765945,141.25,4.9505313700265505,0.35,91.89,1.4463,5126.0,6600.27002,25.99,37.619999,9901.19043
2010-06-07,138.679993,142.98142585714282,141.95761838095243,145.3922314701229,142.21907791664304,-3.173153553479864,2.9867838315188613,147.93118604399015,135.9840507179147,140.0702674492198,137.679993,4.924932101060749,0.35,91.56,1.4469,5069.06,6512.419922,25.290001,36.720001,9520.799805
2010-06-08,137.779999,141.95714042857142,141.70952285714287,144.82823413930595,141.53614269025766,-3.2920914490482858,3.0863761556933595,147.8822751685296,135.53677054575616,138.5434218164066,136.779999,4.91837378835894,0.35,91.35,1.4472,5028.15,6596.120117,25.59,37.779999,9537.94043
2010-06-09,136.800003,140.8914272857143,141.374761,144.23342510503966,140.8075058072137,-3.4259192978259705,3.265380148903678,147.90552129780735,134.84400070219266,137.38114260546888,135.800003,4.911183237215906,0.35,91.35,1.4536,5085.86,6559.709961,25.129998999999998,37.119999,9439.129883
2010-06-10,133.770004,139.73571342857144,140.98428495238096,143.45820573213413,139.72481321190816,-3.7333925202259763,3.3769556119088247,147.7381961761986,134.2303737285633,134.97371686848962,132.770004,4.888618338035098,0.35,91.49,1.4705,5132.5,6783.509765999999,25.59,38.290001000000004,9542.650391
2010-06-11,135.639999,138.42285585714288,140.43380885714285,142.8789747413678,139.09638025152472,-3.782594489843092,3.419274857474728,147.27235857209232,133.59525914219338,135.4179049561632,134.639999,4.902604542455337,0.35,91.65,1.4545,5163.68,6814.759765999999,26.0,38.09,9705.25
2010-06-14,133.440002,136.90857142857143,139.8999997142857,142.17967468484676,138.22616820731545,-3.953506477531306,3.6585314887850866,147.2170626918559,132.58293673671554,134.0993029853877,132.440002,4.886129727780223,0.35,91.63,1.4743,5202.13,6817.970215,25.33,37.330002,9879.849609
